T,M,D,K,C,Val,DK,DKC
8,4,C1,P3,S1,36.64827525163591,"C1,P3","C1,P3,S1"
8,4,C1,P3,S4,-943.3517247483641,"C1,P3","C1,P3,S4"
8,4,C1,P3,S6,21.64827525163591,"C1,P3","C1,P3,S6"
8,4,C2,P3,S1,-943.3517247483641,"C2,P3","C2,P3,S1"
8,4,C2,P3,S4,-928.3517247483641,"C2,P3","C2,P3,S4"
8,4,C2,P3,S6,31.64827525163591,"C2,P3","C2,P3,S6"
9,0,C1,P3,S1,37.56179249911955,"C1,P3","C1,P3,S1"
9,0,C1,P3,S4,-942.4382075008805,"C1,P3","C1,P3,S4"
9,0,C1,P3,S6,22.56179249911955,"C1,P3","C1,P3,S6"
9,0,C2,P3,S1,-942.4382075008805,"C2,P3","C2,P3,S1"
9,0,C2,P3,S4,-927.4382075008805,"C2,P3","C2,P3,S4"
9,0,C2,P3,S6,32.56179249911955,"C2,P3","C2,P3,S6"
9,1,C1,P3,S1,37.56179249911955,"C1,P3","C1,P3,S1"
9,1,C1,P3,S4,-942.4382075008805,"C1,P3","C1,P3,S4"
9,1,C1,P3,S6,22.56179249911955,"C1,P3","C1,P3,S6"
9,1,C2,P3,S1,-942.4382075008805,"C2,P3","C2,P3,S1"
9,1,C2,P3,S4,-927.4382075008805,"C2,P3","C2,P3,S4"
9,1,C2,P3,S6,32.56179249911955,"C2,P3","C2,P3,S6"
9,2,C1,P3,S1,37.56179249911955,"C1,P3","C1,P3,S1"
9,2,C1,P3,S4,-942.4382075008805,"C1,P3","C1,P3,S4"
9,2,C1,P3,S6,22.56179249911955,"C1,P3","C1,P3,S6"
9,2,C2,P3,S1,-942.4382075008805,"C2,P3","C2,P3,S1"
9,2,C2,P3,S4,-927.4382075008805,"C2,P3","C2,P3,S4"
9,2,C2,P3,S6,32.56179249911955,"C2,P3","C2,P3,S6"
9,3,C1,P3,S1,37.56179249911955,"C1,P3","C1,P3,S1"
9,3,C1,P3,S4,-942.4382075008805,"C1,P3","C1,P3,S4"
9,3,C1,P3,S6,22.56179249911955,"C1,P3","C1,P3,S6"
9,3,C2,P3,S1,-942.4382075008805,"C2,P3","C2,P3,S1"
9,3,C2,P3,S4,-927.4382075008805,"C2,P3","C2,P3,S4"
9,3,C2,P3,S6,32.56179249911955,"C2,P3","C2,P3,S6"
