T,M,D,K,C,Val,DK,DKC
9,1,C1,P3,S4,-995.1537380580882,"C1,P3","C1,P3,S4"
9,1,C1,P3,S6,4.846261941911509,"C1,P3","C1,P3,S6"
9,1,C2,P3,S1,-995.1537380580886,"C2,P3","C2,P3,S1"
9,1,C2,P3,S4,-995.1537380580885,"C2,P3","C2,P3,S4"
9,1,C2,P3,S6,4.846261941911823,"C2,P3","C2,P3,S6"
9,2,C1,P3,S1,4.8462619419114805,"C1,P3","C1,P3,S1"
9,2,C1,P3,S4,-995.1537380580885,"C1,P3","C1,P3,S4"
9,2,C1,P3,S6,4.846261941911551,"C1,P3","C1,P3,S6"
9,2,C2,P3,S1,-995.1537380580883,"C2,P3","C2,P3,S1"
9,2,C2,P3,S4,-995.1537380580875,"C2,P3","C2,P3,S4"
9,2,C2,P3,S6,4.846261941911864,"C2,P3","C2,P3,S6"
9,3,C1,P3,S1,4.710485414051142,"C1,P3","C1,P3,S1"
9,3,C1,P3,S4,-995.4252911138092,"C1,P3","C1,P3,S4"
9,3,C1,P3,S6,4.710485414051104,"C1,P3","C1,P3,S6"
9,3,C2,P3,S1,-995.1537380580883,"C2,P3","C2,P3,S1"
9,3,C2,P3,S4,-995.1537380580886,"C2,P3","C2,P3,S4"
9,3,C2,P3,S6,4.846261941910846,"C2,P3","C2,P3,S6"
9,4,C1,P3,S1,4.710485414051142,"C1,P3","C1,P3,S1"
9,4,C1,P3,S4,-995.4252911138092,"C1,P3","C1,P3,S4"
9,4,C1,P3,S6,4.710485414051104,"C1,P3","C1,P3,S6"
9,4,C2,P3,S1,-995.1537380580883,"C2,P3","C2,P3,S1"
9,4,C2,P3,S4,-995.1537380580886,"C2,P3","C2,P3,S4"
9,4,C2,P3,S6,4.846261941910846,"C2,P3","C2,P3,S6"
10,0,C1,P3,S1,4.827899322492474,"C1,P3","C1,P3,S1"
10,0,C1,P3,S4,-995.1721006775077,"C1,P3","C1,P3,S4"
10,0,C1,P3,S6,4.82789932249139,"C1,P3","C1,P3,S6"
10,0,C2,P3,S1,-995.1721006775077,"C2,P3","C2,P3,S1"
10,0,C2,P3,S4,-995.1721006775066,"C2,P3","C2,P3,S4"
10,0,C2,P3,S6,4.82789932249258,"C2,P3","C2,P3,S6"
10,1,C1,P3,S1,4.827899322492521,"C1,P3","C1,P3,S1"
10,1,C1,P3,S4,-995.1721006775076,"C1,P3","C1,P3,S4"
10,1,C1,P3,S6,4.827899322492448,"C1,P3","C1,P3,S6"
10,1,C2,P3,S1,-995.1721006775064,"C2,P3","C2,P3,S1"
10,1,C2,P3,S4,-995.1721006775066,"C2,P3","C2,P3,S4"
10,1,C2,P3,S6,4.827899322492448,"C2,P3","C2,P3,S6"
10,2,C1,P3,S1,4.827899322492529,"C1,P3","C1,P3,S1"
10,2,C1,P3,S4,-995.1721006775076,"C1,P3","C1,P3,S4"
10,2,C1,P3,S6,4.827899322492501,"C1,P3","C1,P3,S6"
10,2,C2,P3,S1,-995.1721006775065,"C2,P3","C2,P3,S1"
10,2,C2,P3,S4,-995.172100677507,"C2,P3","C2,P3,S4"
10,2,C2,P3,S6,4.827899322492453,"C2,P3","C2,P3,S6"
10,3,C1,P3,S1,4.645985559910578,"C1,P3","C1,P3,S1"
10,3,C1,P3,S4,-995.535928202671,"C1,P3","C1,P3,S4"
10,3,C1,P3,S6,4.64598555991059,"C1,P3","C1,P3,S6"
10,3,C2,P3,S1,-995.1721006775083,"C2,P3","C2,P3,S1"
10,3,C2,P3,S4,-995.1721006775064,"C2,P3","C2,P3,S4"
10,3,C2,P3,S6,4.8278993224916995,"C2,P3","C2,P3,S6"
10,4,C1,P3,S1,4.645985559910578,"C1,P3","C1,P3,S1"
10,4,C1,P3,S4,-995.535928202671,"C1,P3","C1,P3,S4"
10,4,C1,P3,S6,4.64598555991059,"C1,P3","C1,P3,S6"
10,4,C2,P3,S1,-995.1721006775083,"C2,P3","C2,P3,S1"
10,4,C2,P3,S4,-995.1721006775064,"C2,P3","C2,P3,S4"
10,4,C2,P3,S6,4.8278993224916995,"C2,P3","C2,P3,S6"
